-----------------------------------------------------------
line,col,  node
-----------------------------------------------------------
   1,  1,  document
interTag,    html
   2,  1,      head
   4,  1,        title
   4,  8,          TEXT
   6,  1,        meta
   7,  1,        meta
   8,  1,        meta
   9,  1,        meta
  10,  1,        link
  11,  1,        link
  13,  1,        script
  13, 78,        script
  13,203,        script
  13,305,        script
  13,377,        script
  21, 10,        style
  23,  1,        script
  38,  1,        script
  76,  1,        link
  77,  1,        script
  77,198,        link
  77,333,        link
  77,431,        script
  77,567,        style
 222, 10,        style
 223,  1,      body
 224,  1,        div
 225,  1,          a
 225, 36,            img
 226,  1,          div
 226, 39,            TEXT
 227,  1,        div
 228,  1,          div
 229,  1,            div
 230,  1,              a
 230,114,                TEXT
 231,  1,              a
 232,  1,              a
 232, 73,                TEXT
 232, 81,              a
 232,151,                TEXT
 232,158,              a
 232,234,                TEXT
 232,248,              a
 232,318,                TEXT
 232,325,              a
 232,395,                TEXT
 232,402,              a
 232,484,                TEXT
 232,497,              a
 232,573,                TEXT
 232,583,              a
 232,661,                TEXT
 232,672,              a
 232,742,                TEXT
 233,  1,            div
 234,  1,              a
 235,  1,              a
 236,  1,            div
 237,  1,              a
 237,119,                TEXT
 237,129,                i
 237,186,                i
 237,241,              a
 237,362,                TEXT
 237,373,                i
 237,430,                i
 237,485,              a
 237,600,                TEXT
 237,609,                i
 237,666,                i
 237,721,              a
 237,750,                TEXT
 238,  1,          div
 239,  1,          div
 240,  1,          div
 241,  1,          div
 242,  1,          div
 243,  1,        div
 244,  1,          div
 245,  1,            div
 246,  1,              div
 247,  1,                a
 247,122,                  TEXT
 248,  1,                h2
 248, 18,                  span
 248, 40,                    TEXT
 248, 52,                  TEXT
 249,  1,                a
 249, 37,                  TEXT
 250,  1,                a
 250, 40,                  TEXT
 251,  1,                a
 251, 52,                  TEXT
 252,  1,                a
 252, 49,                  TEXT
 253,  1,                a
 253, 40,                  TEXT
 254,  1,                a
 254, 40,                  TEXT
 255,  1,                a
 255, 42,                  TEXT
 256,  1,                a
 256, 44,                  TEXT
 257,  1,                a
 257, 45,                  TEXT
 258,  1,                a
 258, 45,                  TEXT
 259,  1,                a
 259, 44,                  TEXT
 260,  1,                a
 260, 47,                  TEXT
 261,  1,                a
 261, 43,                  TEXT
 262,  1,                a
 262, 48,                  TEXT
 263,  1,                a
 263, 47,                  TEXT
 264,  1,                a
 264, 46,                  TEXT
 265,  1,                a
 265, 45,                  TEXT
 266,  1,                a
 266, 50,                  TEXT
 267,  1,                a
 267, 51,                  TEXT
 268,  1,                br
 269,  1,                div
 270,  1,                  h2
 270, 18,                    span
 270, 40,                      TEXT
 270, 52,                    TEXT
 271,  1,                  a
 271, 41,                    TEXT
 272,  1,                  a
 272, 41,                    TEXT
 273,  1,                  a
 273, 35,                    TEXT
 274,  1,                  a
 274, 38,                    TEXT
 275,  1,                  a
 275, 41,                    TEXT
 276,  1,                  a
 276, 41,                    TEXT
 277,  1,                  a
 277, 40,                    TEXT
 278,  1,                  a
 278, 38,                    TEXT
 279,  1,                  a
 279, 41,                    TEXT
 280,  1,                  a
 280, 39,                    TEXT
 281,  1,                  a
 281, 39,                    TEXT
 282,  1,                  a
 282, 35,                    TEXT
 283,  1,                  a
 283, 38,                    TEXT
 284,  1,                  a
 284, 42,                    TEXT
 285,  1,                  a
 285, 37,                    TEXT
 286,  1,                  a
 286, 37,                    TEXT
 287,  1,                  a
 287, 37,                    TEXT
 288,  1,                  a
 288, 44,                    TEXT
 289,  1,                  a
 289, 38,                    TEXT
 290,  1,                  a
 290, 36,                    TEXT
 291,  1,                  a
 291, 40,                    TEXT
 292,  1,                  a
 292, 40,                    TEXT
 293,  1,                  a
 293, 41,                    TEXT
 294,  1,                  a
 294, 40,                    TEXT
 295,  1,                  a
 295, 38,                    TEXT
 296,  1,                  a
 296, 38,                    TEXT
 297,  1,                  a
 297, 37,                    TEXT
 298,  1,                  a
 298, 42,                    TEXT
 299,  1,                  a
 299, 42,                    TEXT
 300,  1,                  a
 300, 36,                    TEXT
 301,  1,                  a
 301, 37,                    TEXT
 302,  1,                  a
 302, 41,                    TEXT
 303,  1,                  a
 303, 37,                    TEXT
 304,  1,                  a
 304, 40,                    TEXT
 305,  1,                  a
 305, 37,                    TEXT
 306,  1,                  a
 306, 37,                    TEXT
 307,  1,                  a
 307, 36,                    TEXT
 308,  1,                  a
 308, 36,                    TEXT
 309,  1,                  a
 309, 36,                    TEXT
 310,  1,                  a
 310, 39,                    TEXT
 311,  1,                  a
 311, 42,                    TEXT
 312,  1,                  a
 312, 44,                    TEXT
 313,  1,                  a
 313, 40,                    TEXT
 314,  1,                  a
 314, 38,                    TEXT
 315,  1,                  a
 315, 40,                    TEXT
 316,  1,                  a
 316, 38,                    TEXT
 317,  1,                  a
 317, 39,                    TEXT
 318,  1,                  a
 318, 42,                    TEXT
 319,  1,                  a
 319, 36,                    TEXT
 320,  1,                  a
 320, 38,                    TEXT
 321,  1,                  a
 321, 40,                    TEXT
 322,  1,                  a
 322, 36,                    TEXT
 323,  1,                  a
 323, 38,                    TEXT
 324,  1,                  a
 324, 35,                    TEXT
 325,  1,                  a
 325, 40,                    TEXT
 326,  1,                  a
 326, 37,                    TEXT
 327,  1,                  a
 327, 39,                    TEXT
 328,  1,                  a
 328, 37,                    TEXT
 329,  1,                  a
 329, 37,                    TEXT
 330,  1,                  a
 330, 40,                    TEXT
 331,  1,                  a
 331, 39,                    TEXT
 332,  1,                  a
 332, 40,                    TEXT
 333,  1,                  a
 333, 36,                    TEXT
 334,  1,                  a
 334, 38,                    TEXT
 335,  1,                  a
 335, 38,                    TEXT
 336,  1,                  a
 336, 37,                    TEXT
 337,  1,                  a
 337, 38,                    TEXT
 338,  1,                  a
 338, 38,                    TEXT
 339,  1,                  a
 339, 42,                    TEXT
 340,  1,                  a
 340, 38,                    TEXT
 341,  1,                  a
 341, 39,                    TEXT
 342,  1,                  a
 342, 37,                    TEXT
 343,  1,                  a
 343, 42,                    TEXT
 344,  1,                  a
 344, 42,                    TEXT
 345,  1,                  a
 345, 40,                    TEXT
 346,  1,                  a
 346, 36,                    TEXT
 347,  1,                  a
 347, 42,                    TEXT
 348,  1,                  a
 348, 40,                    TEXT
 349,  1,                  a
 349, 40,                    TEXT
 350,  1,                  a
 350, 35,                    TEXT
 351,  1,                  a
 351, 39,                    TEXT
 352,  1,                  a
 352, 37,                    TEXT
 353,  1,                  a
 353, 42,                    TEXT
 354,  1,                  a
 354, 35,                    TEXT
 355,  1,                  a
 355, 36,                    TEXT
 356,  1,                  a
 356, 36,                    TEXT
 357,  1,                  a
 357, 38,                    TEXT
 358,  1,                  a
 358, 35,                    TEXT
 359,  1,                  a
 359, 38,                    TEXT
 360,  1,                  a
 360, 40,                    TEXT
 361,  1,                  a
 361, 41,                    TEXT
 362,  1,                  a
 362, 40,                    TEXT
 363,  1,                  a
 363, 39,                    TEXT
 364,  1,                  a
 364, 40,                    TEXT
 365,  1,                  a
 365, 38,                    TEXT
 366,  1,                  a
 366, 40,                    TEXT
 367,  1,                  a
 367, 40,                    TEXT
 368,  1,                  a
 368, 39,                    TEXT
 369,  1,                  a
 369, 37,                    TEXT
 370,  1,                  a
 370, 41,                    TEXT
 371,  1,                  a
 371, 37,                    TEXT
 372,  1,                  a
 372, 39,                    TEXT
 373,  1,                  a
 373, 39,                    TEXT
 374,  1,                  a
 374, 36,                    TEXT
 375,  1,                  a
 375, 42,                    TEXT
 376,  1,                  a
 376, 39,                    TEXT
 377,  1,                  a
 377, 36,                    TEXT
 378,  1,                  a
 378, 39,                    TEXT
 379,  1,                  a
 379, 38,                    TEXT
 380,  1,                  a
 380, 39,                    TEXT
 381,  1,                  a
